surname,ppm,name,nick
王,74861.812,艾,???̷̷
李,73703.206,艾琳,???虚无主义贩卖机???
张,70329.155,安,??忒修斯之船??
刘,53055.914,安澜,?ꂢ?2
陈,45548.372,安琪,__亡骸__
杨,33688.565,安若,꧁腐草为萤꧂
黄,23483.327,安雅,∅静寂の冥界∅
赵,21113.106,昂,∅空∅
吴,19989.623,昂诗,∫知逝の春解
周,19626.411,昂逸,▽罪渊
徐,14972.404,傲,✦偷月贼✦
孙,14554.849,傲岚,404NotStudent
朱,13210.492,傲雪,Aaaa
马,13077.408,傲云,Aʚ
胡,12035.321,白,Ahappy小红帽儿R
郭,11499.941,白薇,Ahri
何,10736.96,白榆,Ai
高,10428.904,白宇,Aimee🍒
罗,9862.225,白雨,Akari樱花美丽物语
林,9824.296,柏川,Akira
郑,9118.702,柏琪,Aki酱
梁,8389.315,柏然,Almond甜心
谢,7467.385,柏瑶,Alva
宋,7318.869,柏宇,Amber星子落入河流
唐,7149.594,琲,Ambry
韩,6425.718,蓓,Amethyst_Violetの小宇宙
许,6402.98,蓓曦,Amy
冯,6339.533,本恩,An
邓,6240.006,彼安,Angelica
曹,6198.571,碧桐,Angel呆毛独角兽
彭,5899.668,碧萱,Angel酱
曾,5652.772,碧瑶,Angel心事（屿）
肖,5452.864,碧云,Anime💖天使
田,5428.504,碧芸,AoiUnderworld
董,5335.451,彬,Aoi花与风
袁,5207.486,斌然,Apple
于,5143.413,斌哲,Apple小丸子
潘,5115.349,冰,Archer·霜月
蒋,4932.538,冰清,Aria
杜,4855.193,冰然,Aria💫蜜糖
蔡,4851.258,冰弦,Artist_Cloud少女诗篇
余,4806.695,冰萱,Arwen🌙
程,4696.939,冰燕,AshenVoid
魏,4639.76,冰瑶,Asuna的星光湖
叶,4609.444,冰宜,Aurora
吕,4519.109,冰韵,Aurora追光者
丁,4513.478,博,Ava
苏,4494.348,博文,Avalon居多梦
任,4334.552,博远,Azure梦境飞行
沈,4241.773,采薇,A梦漫游
姚,4175.174,彩萱,A摸鱼冠军
姜,4143.641,沧朔,B
卢,4067.849,策,Belle
崔,4026.081,岑,Berry迷梦ζ
钟,3945.105,澈,Berry泡泡星_✨
谭,3797.039,琛,Bi
汪,3783.961,琛雅,Biu.
范,3759.128,辰安,Blade_
陆,3713.682,沉月,Blanc
金,3687.132,宸,Bling-bling的银河汽水
石,3539.389,宸溯,Blingbling小确幸
廖,3482.725,宸逸,Bling晴天
贾,3464.529,晨,Bloom幻境ψ
夏,3332.97,晨曦,Bluemosh*月夜结晶~
付,3275.436,晨雨,Blue星梦
方,3167.792,呈宇,Blue星璇ξ
韦,3130.176,诚安,BlushingHalo
邹,3060.517,澄澈,Bly
白,3036.381,澄妍,Book思议的梦
熊,3015.745,澄月,Book星探
孟,2995.23,驰云,Bournvita.girl°浅忆
秦,2981.131,初冉,Bubble糖罐
邱,2753.278,初瑶,Bug加糖
尹,2705.839,楚,Bunny糖
江,2690.387,楚寒,B格满满
薛,2662.707,楚然,B小调的云朵发卡
闫,2604.156,楚瑶,C
侯,2583.28,楚鸢,Cafe蜜语
段,2518.832,川,Candy_梦幻星辰之旅
雷,2468.804,翠薇,Candy甜心Y
史,2227.621,翠雯,Candy星辰
龙,2225.988,代青,Carefree雨天
陶,2201.317,黛琳,Cat眯眼欧
顾,2155.236,黛宁,Cat在逃小怪兽
贺,2148.482,黛汐,Cecilia_Sunlight
黎,2118.345,丹晨,ChasingCrescents
郝,2094.775,丹琳,Cherish_晨曦微光梦
毛,2081.118,丹妮,Cherish甜瓜
邵,2059.744,丹宁,Cherry
龚,2058.488,丹若,Cherry小软萌
万,2005.669,丹彤,Chris
钱,1933.043,丹雅,Ciara
武,1896.395,丹妤,Cici小阔K
严,1896.263,德慧,Cinderella
戴,1865.331,迪,CinnamoonCurls
孔,1801.026,笛云,Cipher°
向,1786.06,典雅,CitrusCascade
覃,1750.845,冬临,Cloud
常,1740.668,冬玥,Cloud_蓝空
汤,1736.418,端肃,CloudyJoker
