name,init_intrusion,step_intrusion,init_destruction,step_destruction,sensitivity,skip_base_prob,description
温柔,1.5,1.0,1.0,0.0,-0.5,3.0,将悲悯与敬畏视为自身的存在感，试图在文明的缝隙中立足。
适应,1.0,2.0,0.0,0.0,1.0,2.0,随波逐流的移动、理所当然地接受了“万物皆可踩踏”的规则。
疏离,1.0,0.0,1.5,0.0,0.0,2.0,绝对的尺度断层、精准地无视一切、不因任何景观而动摇。
迷糊,2.5,0.0,1.5,0.0,1.0,2.0,迟钝的巨响、无意识的碾压、因好奇而倾覆的阴影。
纯真,3.5,0.0,1.5,1.0,1.0,3.0,孩子气的、黏糊糊的、缺乏善恶观的嬉戏。
冷漠,2.0,-1.0,2.0,1.0,0.0,3.0,众生平等的毁灭、行走的天灾、无视哀鸣的绝对神。
自信,2.0,1.0,2.0,0.0,0.5,3.0,开朗、融入背景，对破坏无感，喜欢在特殊地标前展示身体。
不解,2.5,0.0,2.5,-1.0,0.0,3.0,介于理智与混乱之间的徘徊者，对毁天灭地的后果感到困惑。
好奇,2.5,1.0,2.0,1.0,1.5,2.0,难以捉摸、膨胀的探索欲，寻找某种令她愉悦的新鲜感。
狂妄,3.5,-1.0,2.5,1.0,1.0,3.0,以身躯的伟岸嘲笑一切秩序、视众生为草芥的女王。
支配,3.0,1.0,2.5,1.0,1.0,3.0,侵略性的意志和掌控感、刻意而为的凌驾、人类心理的主宰者。
沉溺,3.5,1.0,3.0,1.0,-2.0,4.0,扭曲的怜爱与窒息的索求、用毁灭性的包覆实施禁锢。
悲观,1.5,0.0,3.5,0.0,-1.0,3.0,不敢直视受害者，却无法停止毁灭。遇到地标时会稍微收敛。
游戏,0.0,0.0,3.5,1.0,0.0,2.0,没有目的或恶意、随心所欲的破坏，一切全凭此时此刻的兴致。
